Label (Grouping),SEX AND AGE,    Total population,RACE,    Total population,        One race,            White,            Black or African American,            American Indian and Alaska Native,            Asian,            Native Hawaiian and Other Pacific Islander,    Total population,        White,        Black or African American,        American Indian and Alaska Native,        Asian,        Native Hawaiian and Other Pacific Islander,        Some other race,    Total population,        Hispanic or Latino (of any race),            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone
1221,0,3414,0,3414,0.891,0.766,0.012,0.018,0.037,0,3414,0.872,0.024,0.03,0.111,0,0.076,3414,0.125,0.725,0.012,0,0.037,0
1222.02,0,2425,0,2425,0.883,0.813,0.006,0,0.035,0.005,2425,0.917,0.05,0.03,0.044,0.005,0.083,2425,0.163,0.761,0,0,0.023,0
1222.03,0,4260,0,4260,0.824,0.777,0.007,0.009,0.018,0,4260,0.944,0.021,0.084,0.027,0.008,0.105,4260,0.158,0.721,0.007,0,0.018,0
1222.04,0,3319,0,3319,0.986,0.841,0,0.008,0.012,0,3319,0.855,0,0.008,0.021,0,0.13,3319,0.232,0.743,0,0,0.012,0
1222.05,0,2579,0,2579,0.979,0.958,0.004,0,0.017,0,2579,0.979,0.005,0.02,0.017,0,0,2579,0.029,0.928,0.004,0,0.017,0
1223,0,4036,0,4036,0.935,0.733,0.003,0.005,0.009,0,4036,0.798,0.012,0.015,0.015,0.002,0.225,4036,0.366,0.594,0.003,0.004,0.009,0
1224.01,0,2456,0,2456,1,0.984,0,0,0.016,0,2456,0.984,0,0,0.016,0,0,2456,0.039,0.945,0,0,0.016,0
1224.02,0,4207,0,4207,0.89,0.711,0,0,0.041,0,4207,0.821,0,0,0.044,0,0.244,4207,0.263,0.692,0,0,0.041,0
1225,0,6964,0,6964,0.779,0.256,0.007,0.006,0.019,0,6964,0.477,0.016,0.01,0.072,0,0.659,6964,0.829,0.116,0.007,0,0.015,0
1231,0,3307,0,3307,0.879,0.63,0,0.004,0.015,0.013,3307,0.738,0.001,0.013,0.053,0.029,0.298,3307,0.584,0.347,0,0.001,0.013,0.013
1233,0,1513,0,1513,0.939,0.665,0.095,0.011,0.015,0,1513,0.726,0.13,0.016,0.046,0,0.174,1513,0.613,0.329,0.033,0,0.015,0
